"NU_CNPJ_MANTENEDORA";"CO_BANCO";"NU_AGENCIA";"NU_CONTA_CORRENTE";"NO_RAZAO_SOCIAL";"NO_LOGRADOURO";"NU_ENDERECO";"NO_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"CO_MUNICIPIO";"CO_REGIAO_SAUDE";"NU_TELEFONE";"TO_CHAR(DT_PREENCHIMENTO,'DD/MM/YYYY')";"ST_FMS_FES";"NU_CNPJ_FMS_FES";"CO_NATUREZA_JUR";"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')";"CO_USUARIO";"CO_GESTOR";"CO_MUNICIPIO_MANT";"TO_CHAR(DT_ATUALIZACAO_ORIGEM,'DD/MM/YYYY')"
"00000729000168";"001";"08621";"20675X";"PREFEITURA MUNICIPAL DE RIO SONO";"PRACA DA MATRIZ";"280";"";"CENTRO";"77635000";"171875";"";"63 34511100";"28/02/2013";"M";"11563127000135";"1244";"28/02/2013";"FCESS";"171875";"171875";""
"00001602000163";"001";"09113";"57517";"PREFEITURA MUNICIPAL DE NOVA OLINDA";"AVENIDA GOIAS";"1284";"";"CENTRO";"77790000";"171488";"001";"634521408";"03/08/2016";" ";"";"1244";"03/08/2016";"FCESS";"171488";"171488";""
"00001636000158";"001";"06386";"82511";"PREFEITURA MUNICIPAL DE WANDERLANDIA";"PCA ANTONIO NETO DAS FLORES";"814";"";"CENTRO";"77860000";"172208";"002";"634531135";"14/01/2012";"M";"11178091000176";"1244";"14/01/2012";"FCESTO";"172208";"172208";""
"00003848000174";"001";"39780";"88072";"PREFEITURA MUNICIPAL DE FIGUEIROPOLIS";"AVENIDA BERNARDO SAYAO";"S/N";"";"CENTRO";"77465000";"170765";"";"";"15/04/2014";"M";"12028766000163";"1244";"15/04/2014";"FCESS";"170765";"170765";""
"00007468000108";"001";"10928";"82589";"MUNICIPIO DE MARA ROSA";"PC COSTA E SILVA";"378";"";"CENTRO";"76490000";"521280";"13";"6233662029";"07/07/2017";" ";"";"1244";"01/06/2015";"ROSILENE";"521280";"521280";""
"00005959000110";"001";"36404";"580406";"PREFEITURA MUNICIPAL DE INDIARA";"R MIZAEL MACHADO";"SN";"";"CENTRO";"75955000";"520995";"1";"625471157";"08/01/2025";" ";"";"1244";"12/01/2012";"SAUDE10";"520995";"520995";""
"00006037000127";"";"";"";"UNIMED DE TATUI";"RUA CEL AURELIANO DE CAMARGO";"645";"";"CENTRO";"18270170";"355400";"216";"";"08/06/2011";" ";"";"2143";"08/06/2011";"TATUI";"355400";"355400";""
"00006874000156";"001";"20575";"250023";"PREFEITURA MUNICIPAL DE NOVO BRASIL";"PARQUE CASTELO BRANCO";"S/N";"";"CENTRO";"76285000";"521520";"10";"623811211";"02/08/2011";"M";"11260263000156";"1244";"02/08/2011";"GILVAN";"521520";"521520";""
"00007344000122";"001";"05576";"580465";"PREFEITURA MUNICIPAL DE AMERICANO DO BRASIL";"RUA TRES PODERES";"S/N";"";"CENTRO";"76165000";"520085";"9";"62-504-1108";"06/01/2025";"M";"08624711000149";"1244";"28/06/2016";"CESAR";"520085";"520085";""
"00007401000173";"001";"1303X";"580473";"PREFEITURA MUNICIPAL DE PALMEIROPOLIS";"RUA 12";"224";"";"CENTRO";"77365000";"171575";"";"6333861813";"23/04/2008";" ";"";"1244";"23/04/2008";"FCESTO";"171575";"171575";""
"00065557000100";"";"";"";"CIMENTO TOCANTINS SA";"ROD DF 150 KM 18";"18";"NUCLEO RURAL";"SOBRADINHO";"71515810";"530080";"";"4879507";"03/11/2005";"";"";"";"11/08/2005";"VITOR";"530000";"530080";""
"00007914000184";"283";"001";"111";"MUNICIPIO DE ARENOPOLIS";"R GABRIEL RAIMUNDO DE SOUSA";"555";"";"CENTRO";"76235000";"520235";"";"062 36671-160";"07/01/2022";"M";"11664440000160";"1244";"29/01/2015";"GILVAN";"520235";"520235";""
"00027722000130";"001";"04588";"580481";"PREFEITURA MUNICIPAL DE SANTA ISABEL";"AV ANTONIO F DA SILVA";"S/N";"";"CENTRO";"76320000";"521935";"04";"623581218";"10/12/2021";" ";"";"1244";"31/05/2016";"KENIA";"521935";"521935";""
"00031708000100";"001";"1236X";"91952";"SINDICATO DOS COND AUTONOMOS DE VEIC RODOVIARIOS DE BRASILIA";"SQS 302 PLL BLOCO A SALAS";"1,2,3";"";"ASA SUL";"70338010";"530010";"";"224-7292";"31/03/2011";" ";"";"3131";"31/03/2011";"VITOR";"530000";"530010";""
"00034806000109";"";"";"";"GASTROCOR SC LTDA";"AVENIDA DONA ANA COSTA";"493";"CJ 3738";"GONZAGA";"11060003";"354850";"";"32894663";"24/04/2015";" ";"";"2240";"24/04/2015";"SEACONT";"354850";"354850";""
"00038174000143";"001";"3603X";"154040";"FUNDACAO UNIVERSIDADE DE BRASILIA";"CAMPUS UNIVERSITARIO DARCY RIBEIRO";"";"";"ASA NORTE";"70910900";"530010";"";"4485536";"14/01/2025";" ";"";"1139";"02/07/2015";"DIVGPHUB";"530000";"530010";""
"00044834000107";"001";"34169";"154008";"PREFEITURA MUNICIPAL DE VICENTINOPOLIS";"AV HONORIO FERREIRA";"S/N";"";"CENTRO";"75555000";"522205";"1";"062691119";"17/11/2020";" ";"";"1244";"27/10/2010";"KENIA";"522205";"522205";""
"00057240000122";"";"";"";"CIPLAN CIMENTO PLANALTO SA";"RODOVIA DF 205 KM 27";"27";"FERCAL";"SOBRADINHO";"73100000";"530170";"";"4879030";"17/11/2010";" ";"";"";"17/11/2010";"VITOR";"530000";"530170";""
"00060046000104";"";"";"";"CENTRO EDUCACIONAL NOSSA SENHORA DO ROSARIO";"AV W5 908 LT ";"2324";"";"ASA SUL";"70310500";"530010";"";"";"03/07/2007";" ";"";"3999";"03/07/2007";"FCES";"172100";"530010";""
"00061443000192";"";"";"";"OFTALMOCLINICA DR LANNA LTDA";"AVENIDA AYRTON SENNA";"2150";"BLOCO E SALA 215";"BARRA DA TIJUCA";"22775003";"330455";"";"02124313772";"29/11/2013";" ";"";"2305";"29/11/2013";"SMS RIO";"330455";"330455";""
"00079830000156";"001";"0376X";"732117";"PANAMA PREFEITURA GABINETE DO PREFEITO";"AV GETULIO VARGAS";"540";"";"CENTRO";"75580000";"521600";"6";"6434791327";"07/05/2015";"M";"11244505000118";"1244";"07/05/2015";"PANAMA";"521600";"521600";""
"00098095000128";"001";"04588";"191825";"PREFEITURA MUNICIPAL DE NOVA GLORIA";"PRACA CIVICA";"75";"";"CENTRO";"76305000";"521486";"04";"6233453480";"27/11/2015";"M";"11237287000194";"1244";"27/11/2015";"ALLAX";"521486";"521486";""
"00078790000128";"001";"36706";"200948";"MUNICIPIO DE DOVERLANDIA";"RUA JK";"0";"QD65 LT01";"CENTRO";"75855000";"520725";"14";"36641242";"19/10/2017";" ";"";"1244";"08/12/2015";"WEILA";"520725";"520725";""
"6477822000144";"1";"14915";"114626";"PREFEITURA MUNICIPAL DE BARAO DEGRAJAU";"RUA SEOA DA MOTA";"14";"";"CENTRO";"65660000";"210150";"13";"985231233";"03/02/2015";"M";"13911405000123";"1244";"17/04/2012";"SESMA";"210150";"210150"
